Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | a      | K      | res      | ratio   
100         | 1      | 1      | 12426364.07 | 0.95    
100         | 1      | 2      | 13361485.49 | 1.08    
100         | 1      | 3      | 14080721.78 | 1.05    
100         | 1      | 4      | 13656054.01 | 0.97    
100         | 1      | 5      | 13094880.99 | 0.96    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_english.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 21520715.67 | 1.64    
25          | 0      | 2      | 21441003.41 | 1.00    
25          | 0      | 3      | 20444229.04 | 0.95    
25          | 0      | 4      | 21745727.34 | 1.06    
25          | 0      | 5      | 23691966.80 | 1.09    
25          | 0.01   | 1      | 21849818.77 | 0.92    
25          | 0.01   | 2      | 25794243.90 | 1.18    
25          | 0.01   | 3      | 29350011.75 | 1.14    
25          | 0.01   | 4      | 28145628.47 | 0.96    
25          | 0.01   | 5      | 26199522.30 | 0.93    
25          | 0.1    | 1      | 21759143.92 | 0.83    
25          | 0.1    | 2      | 24631042.50 | 1.13    
25          | 0.1    | 3      | 26811695.75 | 1.09    
25          | 0.1    | 4      | 26141779.43 | 0.98    
25          | 0.1    | 5      | 25343453.16 | 0.97    
25          | 1      | 1      | 21702212.12 | 0.86    
25          | 1      | 2      | 24165759.57 | 1.11    
25          | 1      | 3      | 25971690.25 | 1.07    
25          | 1      | 4      | 25847625.39 | 1.00    
25          | 1      | 5      | 25329970.39 | 0.98    
50          | 0      | 1      | 21520715.67 | 0.85    
50          | 0      | 2      | 21441003.41 | 1.00    
50          | 0      | 3      | 20444229.04 | 0.95    
50          | 0      | 4      | 21745727.34 | 1.06    
50          | 0      | 5      | 23691966.80 | 1.09    
50          | 0.01   | 1      | 21849818.77 | 0.92    
50          | 0.01   | 2      | 25794243.90 | 1.18    
50          | 0.01   | 3      | 29350011.75 | 1.14    
50          | 0.01   | 4      | 28145628.47 | 0.96    
50          | 0.01   | 5      | 26199522.30 | 0.93    
50          | 0.1    | 1      | 21759143.92 | 0.83    
50          | 0.1    | 2      | 24631042.50 | 1.13    
50          | 0.1    | 3      | 26811695.75 | 1.09    
50          | 0.1    | 4      | 26141779.43 | 0.98    
50          | 0.1    | 5      | 25343453.16 | 0.97    
50          | 1      | 1      | 21702212.12 | 0.86    
50          | 1      | 2      | 24165759.57 | 1.11    
50          | 1      | 3      | 25971690.25 | 1.07    
50          | 1      | 4      | 25847625.39 | 1.00    
50          | 1      | 5      | 25329970.39 | 0.98    
100         | 0      | 1      | 21520715.67 | 0.85    
100         | 0      | 2      | 21441003.41 | 1.00    
100         | 0      | 3      | 20444229.04 | 0.95    
100         | 0      | 4      | 21745727.34 | 1.06    
100         | 0      | 5      | 23691966.80 | 1.09    
100         | 0.01   | 1      | 21849818.77 | 0.92    
100         | 0.01   | 2      | 25794243.90 | 1.18    
100         | 0.01   | 3      | 29350011.75 | 1.14    
100         | 0.01   | 4      | 28145628.47 | 0.96    
100         | 0.01   | 5      | 26199522.30 | 0.93    
100         | 0.1    | 1      | 21759143.92 | 0.83    
100         | 0.1    | 2      | 24631042.50 | 1.13    
100         | 0.1    | 3      | 26811695.75 | 1.09    
