Lang Ref_Size Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
K      | a      | ref_size(%) | res      | ratio   
3      | 1      | 50          | 25971690.25 | 1.00    
3      | 1      | 100         | 25971690.25 | 1.00    
4      | 0      | 25          | 21745727.34 | 0.84    
4      | 0      | 50          | 21745727.34 | 1.00    
4      | 0      | 100         | 21745727.34 | 1.00    
4      | 0.01   | 25          | 28145628.47 | 1.29    
4      | 0.01   | 50          | 28145628.47 | 1.00    
4      | 0.01   | 100         | 28145628.47 | 1.00    
4      | 0.1    | 25          | 26141779.43 | 0.93    
4      | 0.1    | 50          | 26141779.43 | 1.00    
4      | 0.1    | 100         | 26141779.43 | 1.00    
4      | 1      | 25          | 25847625.39 | 0.99    
4      | 1      | 50          | 25847625.39 | 1.00    
4      | 1      | 100         | 25847625.39 | 1.00    
5      | 0      | 25          | 23691966.80 | 0.92    
5      | 0      | 50          | 23691966.80 | 1.00    
5      | 0      | 100         | 23691966.80 | 1.00    
5      | 0.01   | 25          | 26199522.30 | 1.11    
5      | 0.01   | 50          | 26199522.30 | 1.00    
5      | 0.01   | 100         | 26199522.30 | 1.00    
5      | 0.1    | 25          | 25343453.16 | 0.97    
5      | 0.1    | 50          | 25343453.16 | 1.00    
5      | 0.1    | 100         | 25343453.16 | 1.00    
5      | 1      | 25          | 25329970.39 | 1.00    
5      | 1      | 50          | 25329970.39 | 1.00    
5      | 1      | 100         | 25329970.39 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/5_it_en_fr_de_ro.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 19750.10 | 0.00    
1      | 0      | 50          | 19750.10 | 1.00    
1      | 0      | 100         | 19750.10 | 1.00    
1      | 0.01   | 25          | 21978.66 | 1.11    
1      | 0.01   | 50          | 21978.66 | 1.00    
1      | 0.01   | 100         | 21978.66 | 1.00    
1      | 0.1    | 25          | 21493.48 | 0.98    
1      | 0.1    | 50          | 21493.48 | 1.00    
1      | 0.1    | 100         | 21493.48 | 1.00    
1      | 1      | 25          | 21046.96 | 0.98    
1      | 1      | 50          | 21046.96 | 1.00    
1      | 1      | 100         | 21046.96 | 1.00    
2      | 0      | 25          | 19689.30 | 0.94    
2      | 0      | 50          | 19689.30 | 1.00    
2      | 0      | 100         | 19689.30 | 1.00    
2      | 0.01   | 25          | 24762.83 | 1.26    
2      | 0.01   | 50          | 24762.83 | 1.00    
2      | 0.01   | 100         | 24762.83 | 1.00    
2      | 0.1    | 25          | 23312.91 | 0.94    
2      | 0.1    | 50          | 23312.91 | 1.00    
2      | 0.1    | 100         | 23312.91 | 1.00    
2      | 1      | 25          | 22395.32 | 0.96    
2      | 1      | 50          | 22395.32 | 1.00    
2      | 1      | 100         | 22395.32 | 1.00    
3      | 0      | 25          | 20273.95 | 0.91    
3      | 0      | 50          | 20273.95 | 1.00    
3      | 0      | 100         | 20273.95 | 1.00    
3      | 0.01   | 25          | 27797.47 | 1.37    
3      | 0.01   | 50          | 27797.47 | 1.00    
3      | 0.01   | 100         | 27797.47 | 1.00    
3      | 0.1    | 25          | 25379.16 | 0.91    
3      | 0.1    | 50          | 25379.16 | 1.00    
3      | 0.1    | 100         | 25379.16 | 1.00    
3      | 1      | 25          | 24208.02 | 0.95    
3      | 1      | 50          | 24208.02 | 1.00    
3      | 1      | 100         | 24208.02 | 1.00    
4      | 0      | 25          | 21708.05 | 0.90    
4      | 0      | 50          | 21708.05 | 1.00    
4      | 0      | 100         | 21708.05 | 1.00    
4      | 0.01   | 25          | 26832.17 | 1.24    
4      | 0.01   | 50          | 26832.17 | 1.00    
4      | 0.01   | 100         | 26832.17 | 1.00    
4      | 0.1    | 25          | 25101.83 | 0.94    
4      | 0.1    | 50          | 25101.83 | 1.00    
4      | 0.1    | 100         | 25101.83 | 1.00    
4      | 1      | 25          | 24759.87 | 0.99    
4      | 1      | 50          | 24759.87 | 1.00    
4      | 1      | 100         | 24759.87 | 1.00    
5      | 0      | 25          | 23228.52 | 0.94    
5      | 0      | 50          | 23228.52 | 1.00    
5      | 0      | 100         | 23228.52 | 1.00    
5      | 0.01   | 25          | 25633.66 | 1.10    
5      | 0.01   | 50          | 25633.66 | 1.00    
5      | 0.01   | 100         | 25633.66 | 1.00    
5      | 0.1    | 25          | 24925.92 | 0.97    
5      | 0.1    | 50          | 24925.92 | 1.00    
5      | 0.1    | 100         | 24925.92 | 1.00    
5      | 1      | 25          | 25068.97 | 1.01    
5      | 1      | 50          | 25068.97 | 1.00    
5      | 1      | 100         | 25068.97 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_shakespear.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 773999.86 | 30.87   
1      | 0      | 50          | 773999.86 | 1.00    
1      | 0      | 100         | 773999.86 | 1.00    
1      | 0.01   | 25          | 1042346.32 | 1.35    
1      | 0.01   | 50          | 1042346.32 | 1.00    
1      | 0.01   | 100         | 1042346.32 | 1.00    
