Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | K      | a      | res      | ratio   
50          | 2      | 0      | 13030559.68 | 0.90    
50          | 3      | 0      | 12123547.40 | 0.93    
50          | 4      | 0      | 12019959.27 | 0.99    
50          | 5      | 0      | 12933972.08 | 1.08    
50          | 1      | 0.01   | 14779221.36 | 1.14    
50          | 2      | 0.01   | 14158619.02 | 0.96    
50          | 3      | 0.01   | 13856025.98 | 0.98    
50          | 4      | 0.01   | 14021717.19 | 1.01    
50          | 5      | 0.01   | 15025453.98 | 1.07    
50          | 1      | 0.1    | 14706162.07 | 0.98    
50          | 2      | 0.1    | 13842985.74 | 0.94    
50          | 3      | 0.1    | 13436949.67 | 0.97    
50          | 4      | 0.1    | 13781072.16 | 1.03    
50          | 5      | 0.1    | 15132513.03 | 1.10    
50          | 1      | 1      | 14643488.15 | 0.97    
50          | 2      | 1      | 13766083.56 | 0.94    
50          | 3      | 1      | 13816608.34 | 1.00    
50          | 4      | 1      | 15117568.31 | 1.09    
50          | 5      | 1      | 17273343.90 | 1.14    
100         | 1      | 0      | 14468129.08 | 0.84    
100         | 2      | 0      | 13030559.68 | 0.90    
100         | 3      | 0      | 12123547.40 | 0.93    
100         | 4      | 0      | 12019959.27 | 0.99    
100         | 5      | 0      | 12933972.08 | 1.08    
100         | 1      | 0.01   | 14779221.36 | 1.14    
100         | 2      | 0.01   | 14158619.02 | 0.96    
100         | 3      | 0.01   | 13856025.98 | 0.98    
100         | 4      | 0.01   | 14021717.19 | 1.01    
100         | 5      | 0.01   | 15025453.98 | 1.07    
100         | 1      | 0.1    | 14706162.07 | 0.98    
100         | 2      | 0.1    | 13842985.74 | 0.94    
100         | 3      | 0.1    | 13436949.67 | 0.97    
100         | 4      | 0.1    | 13781072.16 | 1.03    
100         | 5      | 0.1    | 15132513.03 | 1.10    
100         | 1      | 1      | 14643488.15 | 0.97    
100         | 2      | 1      | 13766083.56 | 0.94    
100         | 3      | 1      | 13816608.34 | 1.00    
100         | 4      | 1      | 15117568.31 | 1.09    
100         | 5      | 1      | 17273343.90 | 1.14    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example2.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 11721288.52 | 0.68    
25          | 2      | 0      | 11590127.78 | 0.99    
25          | 3      | 0      | 10925687.96 | 0.94    
25          | 4      | 0      | 11255624.45 | 1.03    
25          | 5      | 0      | 12150108.84 | 1.08    
25          | 1      | 0.01   | 13009407.02 | 1.07    
25          | 2      | 0.01   | 14430199.46 | 1.11    
25          | 3      | 0.01   | 15911795.25 | 1.10    
25          | 4      | 0.01   | 14883419.80 | 0.94    
25          | 5      | 0.01   | 13566229.47 | 0.91    
25          | 1      | 0.1    | 12711151.62 | 0.94    
25          | 2      | 0.1    | 13713977.09 | 1.08    
25          | 3      | 0.1    | 14567234.54 | 1.06    
25          | 4      | 0.1    | 13823391.82 | 0.95    
25          | 5      | 0.1    | 13114907.71 | 0.95    
25          | 1      | 1      | 12426364.07 | 0.95    
25          | 2      | 1      | 13361485.49 | 1.08    
25          | 3      | 1      | 14080721.78 | 1.05    
25          | 4      | 1      | 13656054.01 | 0.97    
25          | 5      | 1      | 13094880.99 | 0.96    
50          | 1      | 0      | 11721288.52 | 0.90    
50          | 2      | 0      | 11590127.78 | 0.99    
50          | 3      | 0      | 10925687.96 | 0.94    
50          | 4      | 0      | 11255624.45 | 1.03    
50          | 5      | 0      | 12150108.84 | 1.08    
50          | 1      | 0.01   | 13009407.02 | 1.07    
50          | 2      | 0.01   | 14430199.46 | 1.11    
50          | 3      | 0.01   | 15911795.25 | 1.10    
50          | 4      | 0.01   | 14883419.80 | 0.94    
50          | 5      | 0.01   | 13566229.47 | 0.91    
50          | 1      | 0.1    | 12711151.62 | 0.94    
50          | 2      | 0.1    | 13713977.09 | 1.08    
50          | 3      | 0.1    | 14567234.54 | 1.06    
50          | 4      | 0.1    | 13823391.82 | 0.95    
50          | 5      | 0.1    | 13114907.71 | 0.95    
50          | 1      | 1      | 12426364.07 | 0.95    
50          | 2      | 1      | 13361485.49 | 1.08    
50          | 3      | 1      | 14080721.78 | 1.05    
50          | 4      | 1      | 13656054.01 | 0.97    
50          | 5      | 1      | 13094880.99 | 0.96    
100         | 1      | 0      | 11721288.52 | 0.90    
100         | 2      | 0      | 11590127.78 | 0.99    
100         | 3      | 0      | 10925687.96 | 0.94    
100         | 4      | 0      | 11255624.45 | 1.03    
100         | 5      | 0      | 12150108.84 | 1.08    
100         | 1      | 0.01   | 13009407.02 | 1.07    
100         | 2      | 0.01   | 14430199.46 | 1.11    
100         | 3      | 0.01   | 15911795.25 | 1.10    
100         | 4      | 0.01   | 14883419.80 | 0.94    
100         | 5      | 0.01   | 13566229.47 | 0.91    
100         | 1      | 0.1    | 12711151.62 | 0.94    
100         | 2      | 0.1    | 13713977.09 | 1.08    
100         | 3      | 0.1    | 14567234.54 | 1.06    
100         | 4      | 0.1    | 13823391.82 | 0.95    
100         | 5      | 0.1    | 13114907.71 | 0.95    
100         | 1      | 1      | 12426364.07 | 0.95    
100         | 2      | 1      | 13361485.49 | 1.08    
100         | 3      | 1      | 14080721.78 | 1.05    
100         | 4      | 1      | 13656054.01 | 0.97    
100         | 5      | 1      | 13094880.99 | 0.96    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_english.txt
